0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.469493,0.234043,0.046025,0.359268,0.003043,0.373641,0.55614,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.023008,0.361702,0.089738,0.313746,0.003467,0.422915,0.414912,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.90788,0.744681,0.043953,0.474412,0.002985,0.527965,0.364035,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.473253,0.851064,0.024919,0.400625,0.001676,0.320818,0.457895,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.907216,0.510638,0.049418,0.332639,0.003199,0.305541,0.748684,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.893589,0.0,0.139006,0.629128,0.009148,0.486794,0.786842,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008849,0.510638,0.041582,0.377566,0.003467,0.422915,0.414912,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.912305,0.638298,0.089318,0.512348,0.009443,0.70145,0.235088,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.903323,0.680851,0.06536,0.493752,0.004057,0.525634,0.42807,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.867749,0.765957,0.02624,0.489735,0.00168,0.398757,0.882018,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.004956,0.978723,0.056323,0.537638,0.003467,0.422915,0.414912,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.872439,0.893617,0.043053,0.502827,0.002362,0.471776,0.59386,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.893677,0.404255,0.028942,0.487355,0.002042,0.613931,0.325,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009601,0.680851,0.065089,0.504314,0.003467,0.422915,0.414912,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.451484,0.191489,0.038699,0.269116,0.000906,0.302952,0.662719,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.447281,0.446809,0.083944,0.717048,0.005818,0.648369,0.359649,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.87151,0.914894,0.037198,0.474264,0.001674,0.365873,0.832456,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446617,0.021277,0.028101,0.351086,0.001793,0.383739,0.691667,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876421,0.595745,0.028462,0.301101,0.000762,0.214915,0.753947,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004292,0.702128,0.077789,0.576614,0.003467,0.422915,0.414912,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.026282,0.510638,0.07959,0.469354,0.003467,0.422915,0.414912,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.473784,0.531915,0.030833,0.621839,0.002038,0.539617,0.548246,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.885049,0.957447,0.055512,0.437816,0.003675,0.300104,0.574561,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.872085,0.361702,0.024919,0.526778,0.001585,0.530295,0.662719,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.459935,0.978723,0.046986,0.509967,0.00327,0.447437,0.272368,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.425247,0.829787,0.074727,0.320292,0.003467,0.422915,0.414912,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.433609,0.404255,0.088027,0.543737,0.003467,0.422915,0.414912,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.87182,0.297872,0.0263,0.490628,0.001685,0.582859,0.594737,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.424583,0.787234,0.056923,0.283993,0.003467,0.422915,0.414912,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.008761,0.765957,0.090369,0.721214,0.003467,0.422915,0.414912,0.0
