0,1,2,3,4,5,6,7,8,9
0.5006477,0.21117415,0.51047385,0.650046,0.7835034,0.5864041,0.5540079,0.05418784,0.7122267,0.7016909
0.9003363,0.966023,0.74551606,0.61698425,0.34248868,0.16104679,0.2937049,0.93058544,0.12773243,0.36684912
0.49934354,0.05921169,0.19062956,0.9192844,0.34953344,0.7564256,0.4743263,0.021299127,0.82786125,0.2500633
0.81857353,0.62744415,0.4990984,0.8701462,0.44546083,0.544041,0.40243003,0.12792449,0.52738005,0.2161151
0.26240802,0.44040143,0.49587113,0.20719273,0.5028985,0.46965933,0.5633661,0.8251706,0.46421725,0.6801019
0.41822878,0.94287217,0.71838033,0.12644053,0.5756306,0.8040069,0.686985,0.8039237,0.42356944,0.13031118
0.046338785,0.5107487,0.19785106,0.12369773,0.15854315,0.9943673,0.8673062,0.41085956,0.88313204,0.0037183969
0.7512764,0.77581656,0.4009407,0.84912544,0.24037758,0.8641082,0.5077067,0.12920329,0.62818635,0.020651098
0.7742025,0.9604354,0.76873726,0.45487222,0.6596043,0.76433635,0.59188586,0.33685222,0.4337839,0.09219181
0.5737185,0.96875036,0.7877858,0.22048979,0.7635029,0.93952805,0.7632805,0.20898762,0.6039319,0.0362686
0.89439887,0.9080201,0.43959895,0.9049307,0.115946695,0.6120157,0.33134663,0.5048647,0.35219565,0.024195228
0.8247688,0.957535,0.7227867,0.7388903,0.739865,0.97236735,0.72123396,0.009854903,0.7638951,0.007369791
0.22197318,0.38434887,0.50373036,0.16051665,0.53171265,0.3856184,0.5581896,0.8818126,0.43548164,0.8034655
0.4540552,0.82847077,0.59342,0.2324738,0.38601384,0.48419887,0.5244658,0.9163093,0.32227278,0.3666478
0.25228107,0.9748829,0.67725694,0.027687857,0.1962086,0.49384204,0.59567684,0.9988024,0.13895115,0.21331988
0.15941021,0.15726829,0.5481487,0.10624492,0.73797023,0.15554053,0.5272842,0.9034116,0.40554553,0.98188627
0.8843998,0.5156543,0.42934588,0.9299512,0.26045993,0.17254616,0.23114434,0.41154277,0.32902822,0.4864503
0.58661354,0.93697196,0.9475808,0.10589752,0.9938991,0.883934,0.8435936,0.011788648,0.7252421,0.63792217
0.5756175,0.1749497,0.23478615,0.8000226,0.1103259,0.117943354,0.23775144,0.8944132,0.3109804,0.7302585
0.60052216,0.41340706,0.20566471,0.793312,0.041730497,0.23847945,0.25484547,0.9517834,0.27941036,0.25081223
