0,1,2
0.24383675,0.85941327,-0.83266705
0.20247999,0.6185358,-0.6152895
-1.2513769,0.7710855,0.12475076
-0.5485344,0.29831278,0.08645934
-1.9657443,-1.0799333,2.0303564
0.5952452,-0.79552615,0.2839201
1.6576695,-0.48882627,-0.591676
0.36438262,0.05207216,-0.25777853
2.9704845,-0.5343425,-1.3337684
-1.3584008,-0.99064165,1.598697
-0.80366105,0.39307898,0.16188413
0.7315006,0.2344387,-0.62149584
-0.6140678,-0.6145742,0.8562001
-0.27062154,-1.7095051,1.5291536
-1.7807914,-0.3729259,1.3546286
-0.46372753,-0.3873037,0.5850866
3.7039096,-0.750617,-1.5955542
1.0118072,-0.39858815,-0.2809095
-1.9420135,0.9662448,0.37806746
-0.2152631,0.24371877,-0.06747007
-0.77324367,0.9971541,-0.33979017
-0.5666639,0.99018264,-0.45671585
0.7916554,0.2683829,-0.6843457
0.8214791,-0.07960744,-0.42342305
0.22341117,-0.46657914,0.24106504
0.6188234,-0.53144205,0.058505982
0.90610164,-0.3843538,-0.22961968
-0.21311925,-0.92867595,0.869904
-2.0965152,1.3867965,0.13298786
-2.6400452,0.9319022,0.819514
-1.0003438,-1.1763332,1.5350286
1.2725348,-1.6929326,0.6007531
0.56951714,1.0098681,-1.1462616
-0.7404716,0.3982154,0.12029883
-0.42719045,-0.20684728,0.41894162
-1.6223257,0.15227386,0.84016764
-0.04004726,1.1017678,-0.8583508
-1.0767269,-0.66879714,1.1739811
2.227739,-0.10578334,-1.2364149
0.58124864,0.2456475,-0.5413665
1.9681468,0.5238863,-1.5865976
-0.95612603,0.26683974,0.3533698
1.7698339,-0.02279234,-1.0313097
0.6437379,-0.40927765,-0.054076537
-3.0430012,0.7492255,1.2047324
0.2626331,0.16585065,-0.28853202
-0.8881347,1.4227738,-0.6124176
-1.0131142,-0.61324817,1.0917834
0.5602554,0.23490313,-0.5203148
-0.19809073,1.4210975,-1.0202895
2.5362937,1.2363027,-2.4939
0.8213097,-0.8216383,0.17076394
-0.9430723,-0.7381603,1.1502541
-2.4770985,0.72400415,0.88933
0.36224946,-0.75041056,0.38597208
-1.8573188,1.2895346,0.06900835
-1.0553005,1.2421104,-0.36864063
-0.101438016,0.66029954,-0.46849516
-1.260882,0.45292032,0.38511774
-1.2133849,-0.4931516,1.114397
-0.27407897,0.5251258,-0.2578915
2.3281136,-1.6906791,-0.027036607
-3.3594575,-0.29293406,2.2267756
1.2574229,0.09652513,-0.82296485
-0.47305462,-0.04041697,0.31289247
1.505171,-0.12052262,-0.79611254
1.2412921,-0.9762214,0.045466065
1.209502,-0.8433398,-0.042069525
0.79137295,-1.0058354,0.33598948
-0.99153197,-1.393965,1.7040439
0.029548705,-1.0222744,0.8009326
-1.0393821,-0.22433272,0.79598653
0.7295304,-1.0974022,0.44597417
2.612785,-0.049026668,-1.510198
-0.8435945,0.4731466,0.12146181
-0.016599802,-0.18714802,0.15967901
2.1032858,-0.53531355,-0.8187193
-0.9217544,0.31703132,0.29280207
-1.7218074,0.30250478,0.7788846
-1.94925,-0.81987536,1.8123667
-0.2204431,-0.11821671,0.22537547
1.5134016,0.5209006,-1.3145313
-1.3231535,0.90167284,0.06276512
-0.1265983,-0.37455177,0.37495062
1.3084122,0.12031883,-0.8722525
1.8694675,0.2696161,-1.3245037
0.08898914,0.3087453,-0.29996127
-1.0220574,0.84604955,-0.0712595
3.5793989,-0.1215564,-2.025356
-0.5736691,0.07951634,0.27653816
2.7945278,-1.2342381,-0.6690693
1.3050565,-1.4028016,0.34918177
-0.44481817,0.26266557,0.05349286
0.4714574,0.06888871,-0.3347404
-0.9430954,0.58446527,0.09134421
0.3267798,0.540578,-0.6265878
0.0016867444,-0.5191518,0.4146443
-0.5651027,0.770612,-0.28184858
1.023992,-0.15098634,-0.4863709
0.98236996,-0.44613582,-0.22538476
-2.4993837,0.2735633,1.263179
-0.5011631,0.7691123,-0.3185657
0.9917143,-1.1511779,0.3335463
1.6134934,-1.1616858,-0.026772022
-1.6795332,1.7031169,-0.36754644
0.28865048,-0.580198,0.29334223
-1.630747,-0.73336107,1.5542208
-1.1135179,0.21021512,0.49204224
-0.5727988,0.6865729,-0.21000099
0.018153027,0.45863476,-0.37795845
1.6556249,-0.1601381,-0.8536186
0.034569427,-0.6624508,0.5098724
1.9108475,-0.3107116,-0.88441986
-2.700008,0.83493716,0.9327058
-1.7042615,-0.94632894,1.7683238
0.47461596,-0.14595911,-0.16460152
-2.3982742,1.1239401,0.5223876
0.59045315,1.1041851,-1.2341895
-0.7554134,0.8898548,-0.26445776
-0.83714586,0.22995387,0.31234315
0.20910089,0.12623967,-0.22507259
0.8536937,-0.48183674,-0.1204934
1.2006,-0.9352148,0.036766827
-1.4932961,1.3321524,-0.18098742
3.0180202,-1.5636222,-0.53789365
2.7387297,-1.5042125,-0.419832
1.4701048,-0.924933,-0.13128853
-0.18480061,-0.34984392,0.38968447
-1.7370646,-0.45138887,1.3915167
-2.5599616,0.95779884,0.75128895
0.28125682,1.0401707,-0.99957657
0.2034828,-0.78543806,0.5081687
1.4786797,0.6450175,-1.3933111
-1.4962817,1.7998408,-0.55365866
0.3472704,0.1863457,-0.35513294
-0.12223455,-2.0605388,1.7222018
-0.41921014,0.28397173,0.021248445
-2.2803314,1.130062,0.4475432
-0.8278178,-0.39478403,0.8069905
-0.21558176,-0.07867691,0.1908361
0.14529935,-0.1044267,-0.0025599487
1.6251004,0.87164164,-1.6615828
-2.6956515,0.4884051,1.2075636
1.4771081,0.2940359,-1.1113753
-0.13712129,-0.45257062,0.44365466
-1.334051,0.4469096,0.4333213
0.64565766,0.56943727,-0.8387961
0.36024755,-0.355861,0.07127409
1.6409076,0.5512495,-1.4144437
0.26886517,0.41582137,-0.49235997
-0.43575755,0.55521834,-0.18610461
0.5292495,0.14788647,-0.43225998
0.5667511,-0.59486365,0.14016291
0.28398287,1.0092602,-0.97644556
-1.6600405,0.093857706,0.9093027
-0.10236633,1.4730337,-1.1186378
2.6487215,-1.2753806,-0.5496628
-1.2161847,-1.5600628,1.9702505
0.7649007,0.66083497,-0.9826853
1.2477087,0.060168415,-0.788096
-0.66581094,1.1167176,-0.4992258
0.22339469,0.5164443,-0.5459558
-1.4939895,0.48103115,0.50085044
0.14446527,-0.6077416,0.40089983
0.456963,-0.49099964,0.122114316
0.94756573,-0.8428292,0.112856746
0.53672487,0.10683751,-0.40382835
-0.7836447,0.5106992,0.055844575
0.46407843,-0.37976557,0.028838187
1.9968351,-0.39045668,-0.871567
-1.2265044,1.064923,-0.12525207
-1.0585564,0.76352173,0.016459018
-0.441567,-0.3401096,0.5341601
-0.5285728,2.5121722,-1.6978438
0.45083869,0.10193236,-0.34896845
-2.2189207,0.3078283,1.0694237
0.10058452,1.3855009,-1.1689123
1.3461332,-0.6053926,-0.31360132
1.950169,-0.8720537,-0.45831546
-0.56135464,-0.41997418,0.6691387
-0.11328749,-0.9917572,0.86120546
0.19878113,-0.6619991,0.4121289
0.014498606,0.66127384,-0.5380287
-0.534925,0.3378842,0.046706855
-2.563201,0.3048212,1.2759985
-1.8751676,1.6351724,-0.19713229
-0.22586644,0.32407922,-0.12552041
0.219961,-0.9872002,0.659932
-2.010435,0.46668527,0.8186019
0.2681615,0.6325806,-0.6654849
-1.0333459,0.6717427,0.07498881
-2.2310617,0.10887265,1.235912
-1.2364558,-0.5094422,1.1411214
-0.784768,-0.50475353,0.8695048
1.006632,-0.07407059,-0.5376564
-1.3003143,0.5613651,0.32167888
-0.04915738,0.6994309,-0.5308284
-1.4889094,0.85802233,0.19601026
-0.80833334,0.6123395,-0.010889888
-1.5102074,0.034405738,0.8680464
-0.2590172,-1.371719,1.2518328
-1.655111,0.53119504,0.55623734
-0.89426255,0.8105271,-0.11860508
-0.8556645,1.2944489,-0.5289334
-0.82423884,-1.4012326,1.6106533
-0.8469993,-0.15488502,0.6262971
-0.6645635,0.22394651,0.2148069
-1.9559807,0.24398685,0.96460617
-1.5384719,1.3487045,-0.167449
2.143297,-0.9560652,-0.5055839
-1.6419369,-0.56005734,1.4221059
-1.3057905,-0.020573944,0.79083985
1.0280385,1.4680959,-1.7850441
0.28532743,-0.928291,0.57400393
-1.9587693,1.2455473,0.16438818
2.5404582,0.23982292,-1.6985655
-1.8105679,-0.48377812,1.4610376
0.31494755,-0.13130371,-0.081647426
-1.6882062,0.19252047,0.84701407
0.64805746,-0.30473775,-0.14033511
-1.6477119,1.0239078,0.15737265
-0.076879784,0.32872427,-0.2175923
1.4943016,-0.41978633,-0.55006945
-0.27307248,-1.7155236,1.5354257
-1.6856825,0.24982558,0.7996378
-2.5689428,1.4670739,0.3488781
-1.5710753,0.75211895,0.32952535
-1.841268,-0.12868929,1.1949515
0.77691907,-0.5373304,-0.030534565
1.6098611,-0.28345627,-0.7277483
-0.6838586,0.489926,0.01330027
0.5982194,-0.10595687,-0.26992828
-0.34147683,0.25237152,0.0004503727
1.208594,0.094005436,-0.79199064
0.84675723,-0.41727895,-0.16806626
0.23834354,-1.5047075,1.0633584
-0.595463,-0.08951585,0.4247935
-0.36010236,0.005884424,0.20883891
0.6817161,0.4342624,-0.7519556
-0.5289004,-0.10169904,0.39507428
-1.2637143,-0.6233217,1.2484609
0.7948544,1.0187283,-1.286986
-1.1924641,0.21822491,0.53244656
1.9857628,0.8995445,-1.8978046
0.37250817,0.22678587,-0.4024769
0.069124594,0.19854882,-0.19995531
-0.23618564,-0.6578343,0.6667411
0.6808779,0.42575294,-0.7446457
0.8929377,-0.37646332,-0.22813043
-0.42259783,0.0529406,0.20822611
0.38850027,0.99157554,-1.0242684
0.31453693,-1.1501929,0.7343415
0.7543592,0.38322666,-0.7541746
-0.158909,-0.9048186,0.8186552
2.4393082,-0.97117835,-0.6690263
-2.083157,-0.14903456,1.354687
-0.18951088,-0.43743217,0.46260288
-0.18801038,-0.5318052,0.5372702
-1.9995682,-1.34969,2.2663882
-1.688607,-0.3404418,1.2739532
1.2327443,-0.8054385,-0.086197525
-1.5370103,0.1818781,0.7658715
-0.5497649,-0.6388842,0.8375299
-1.1080372,0.91562724,-0.0759767
-2.175452,-0.5628637,1.740741
0.65378046,-0.59362423,0.08756003
-0.93718433,0.5991644,0.07607034
-0.60032487,0.6363941,-0.15350303
-0.1879669,0.078657426,0.048494376
1.3627408,-1.1758249,0.13325083
0.12908046,0.3432969,-0.35139927
-0.27576295,-1.0428315,0.9984489
1.8827099,0.40733045,-1.4426138
0.7300499,-0.09696604,-0.35530546
0.2550919,0.3476881,-0.42964303
-2.0572696,1.4466906,0.061761856
0.88564795,-0.59038794,-0.05253455
-2.08529,0.6919577,0.68263453
-0.26257896,-0.01339677,0.16644192
0.26657987,0.6317377,-0.6638721
-0.764724,-0.028520986,0.47633585
1.8608564,0.5350498,-1.5319093
0.008588526,0.28534594,-0.23354757
1.5889046,0.29579744,-1.179084
-0.8180217,0.9461678,-0.27241486
-0.2238442,-0.6324604,0.6391074
1.4060355,-1.3567092,0.252396
1.3735405,0.14715803,-0.9323634
-1.4630923,0.8833209,0.16044539
1.1839197,0.018385649,-0.71681523
-1.9954877,0.5603076,0.7347815
0.13331228,-0.54000676,0.3532838
-2.003246,0.34363443,0.9128558
-0.247237,-1.2019316,1.1089113
-0.9561722,0.74717396,-0.031169146
-1.3763516,1.1127878,-0.07471043
0.90829885,-0.8516554,0.14320946
-1.8205339,-0.3925185,1.3938832
-1.4400176,-0.3571431,1.1399047
0.14383055,0.16000044,-0.21339521
-0.27313304,1.1908507,-0.7914467
-0.35698333,-0.24436404,0.40734375
0.82376635,-0.72241735,0.089868546
-0.17424762,-0.5087157,0.51062256
-0.8248836,-1.1367764,1.399306
0.11713496,-0.7255399,0.51141936
-1.3787366,-0.12577733,0.918327
1.709099,-0.6849741,-0.46513474
-1.1604607,-0.2763851,0.9094636
1.2524968,-0.3317789,-0.47713366
-0.2721245,0.17767993,0.019122414
2.6933527,-0.88427687,-0.8892567
2.2120261,0.08036977,-1.3761351
0.28644034,-1.3303587,0.8952483
-1.7418131,0.72548807,0.45209867
1.7135984,0.2071861,-1.1820865
-0.6188284,-0.44542497,0.7235986
-2.1807978,1.7659637,-0.120600104
