0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1472.0,0.487772,0.003397,0.163044,0.095491,0.925272,0.0,0.781633,0.0,0.006122,0.156627,0.002041,0.983674,0.247849,0.309091,0.814815,1.0
899.0,0.489433,0.053393,0.16129,0.087146,0.882091,0.0,0.763889,0.0,0.041667,0.076923,0.044444,0.994444,0.089744,0.15625,0.4375,0.0
3182.0,0.463231,0.005343,0.210245,0.163934,0.842238,0.022313,0.685299,0.001531,0.013783,0.14752,0.003829,0.988515,0.285901,0.107266,0.780488,1.0
334.0,0.5,0.035928,0.068862,0.053892,0.877246,0.0,0.745763,0.0,0.084746,0.056,0.025424,0.788136,0.32,0.166667,0.0,1.0
68.0,0.470588,0.0,0.279412,0.166667,0.838235,0.0,0.69697,0.0,0.030303,0.108108,0.0,1.0,0.189189,0.0,0.0,1.0
450.0,0.491111,0.004444,0.144444,0.126638,0.895556,0.0,0.732143,0.0,0.011905,0.142857,0.0,0.988095,0.362245,0.18,0.5,1.0
374.0,0.497326,0.0,0.326203,0.196809,0.834225,0.0,0.652941,0.005882,0.011765,0.109948,0.0,0.982353,0.240838,0.111111,0.0,1.0
1678.0,0.460668,0.0,0.306913,0.243094,0.768772,0.048868,0.610372,0.0,0.013298,0.142531,0.0,0.99867,0.353478,0.046809,0.727273,1.0
579.0,0.514681,0.0,0.141624,0.096085,0.891192,0.0,0.725581,0.0,0.018605,0.163424,0.0,1.0,0.272374,0.111111,0.666667,1.0
16040.0,0.477244,0.186908,0.157419,0.111389,0.831983,0.0,0.667668,0.005556,0.055113,0.118364,0.15678,0.976123,0.367139,0.095609,0.544304,1.0
485.0,0.465979,0.0,0.185567,0.127413,0.878351,0.0,0.723958,0.005208,0.026042,0.111111,0.0,0.989583,0.291667,0.064516,0.5,1.0
232.0,0.508621,0.008621,0.064655,0.035088,0.87931,0.0,0.761364,0.011364,0.056818,0.083333,0.0,0.954546,0.239583,0.071429,0.0,0.0
